strain,live,dead,phe,od.harvest,env,cont.max.rate,cont.max.od,carb.max.rate,carb.max.od,toby.max.rate,toby.max.od,cont.lag,carb.lag,toby.lag,cont.auc,carb.auc,carb.auc.delta,toby.auc,toby.auc.delta,carb.lag.delta,toby.lag.delta,bfrac,ecr.n,pch.n,pvd.n,sa.vir,Niche,Sub-Niche
127,22.3184,12.5037,0.125785,1.5,envir,0.220177053,1.310953818,0.240408257,1.275892905,0.163030627,1.065473522,7,6,29,0.882632341,0.704961932,0.177670409,0.29901406,0.583618281,0,23,0.093341024,0.093333333,1.224102493,1.366666667,0.000623067,Saline water,Sea Water
128,28.4652,19.5475,0.121301,1.27,host,0.217282962,1.075557225,0.116165302,0.659856402,0.000966632,0.09752186,6,18,15,0.62991904,0.368760848,0.261158192,0.073475154,0.556443886,13,10,0.113724514,0.039370079,2.745109685,29.13385827,0.000723146,Animal,Host
129,42.8928,17.8908,0.132564,1.3,envir,0.207378668,0.980260043,0.135557532,0.780370888,0.000641946,0.098396459,7,17,15,0.674357723,0.424216972,0.250140751,0.07484806,0.599509663,11,9,0.139820532,0.030769231,3.513934874,2.292307692,0.000583401,Saline water,Sea Water
132,63.0796,28.3009,0.143838,0.496,envir,0.219026988,0.525692565,0.167214151,0.86373955,0.156576277,0.67580347,5,21,27,0.352737651,0.388377637,-0.035639986,0.226851175,0.125886476,17,23,0.206270256,0.02016129,4.597383026,7.379032258,0.000623132,Saline water,Sea Water
133,62.5562,22.9297,0.128358,0.59,envir,0.20439802,0.793648754,0.170635351,1.281944032,0.159539431,1.118793245,7,22,27,0.555499449,0.550108898,0.005390551,0.358200264,0.197299185,16,21,0.260713326,0.152542373,5.784021378,5.694915254,0.000533427,Saline water,Sea Water
134,27.6572,16.3934,0.110518,1.1895,envir,0.219487556,1.062734992,0.14172489,0.557685833,0.00070495,0.09781896,7,22,15,0.722592572,0.256773354,0.465819218,0.072435293,0.650157279,16,9,0.211156876,0,8.047299437,3.858764187,0.000542584,Saline water,Sea Water
148,102.883,30.7054,0.371768,1.78,host,0.49431175,0.866831046,0.478275885,0.79749013,0.188604739,0.901408705,2,1,24,0.625143199,0.595426928,0.029716271,0.348768701,0.276374498,0,23,0.333776364,0.033707865,3.402395436,50.97752809,0.000575428,Animal,Host
149,29.0302,20.6872,0.166332,1.7725,host,0.260504186,1.158723976,0.285569138,0.96877763,0.216671178,1.11545161,6,4,19,0.738132689,0.548295059,0.18983763,0.511829882,0.226302807,-1,14,0.206729687,0.084626234,3.243507435,1.805359661,0.000615492,Animal,Host
158,44.3344,23.5454,0.220927,0.7565,host,0.26420707,0.755380035,0.229676366,0.890218291,0.104344229,0.554550041,4,5,28,0.501048691,0.597108744,-0.096060053,0.205450662,0.295598029,2,25,0.286106406,0.079312624,4.636453473,68.89623265,0.000598001,Animal,Host
159,140.403,21.5161,0.346236,1.1665,host,0.349100004,1.27468937,0.886846323,1.248504624,0.095413211,0.994898423,3,2,19,0.911341405,0.902492709,0.008848696,0.523866171,0.387475234,0,17,0.336490463,0.02571796,2.030115688,4.440634376,0.000584605,Animal,Host
169,82.9325,16.1561,0.454455,1.48,host,0.450818332,1.334408773,0.900200437,1.40753604,0.129492234,0.943346559,3,2,21,0.975558569,1.015010678,-0.039452109,0.447914748,0.527643821,0,19,0.296891485,0.040540541,3.068533282,1.628378378,0.00055571,Animal,Host
174,61.3773,21.7442,0.384959,1.6615,host,0.514841324,1.25789124,0.584284092,1.558624855,0.185434813,1.391810315,3,3,21,0.905321278,1.087347151,-0.182025873,0.493088013,0.412233265,1,19,0.212028636,0.096298525,5.804944794,69.47336744,0.000663807,Animal,Infection
175,54.5704,17.8942,0.467521,1.768,host,0.43265755,1.378928368,0.804917232,1.371936387,0.17174075,1.094911104,3,2,20,1.015098858,1.00012386,0.014974998,0.509858214,0.505240644,0,18,0.208240062,0.118778281,6.295388852,55.82579186,0.000671936,Animal,Infection
210,69.383,17.2803,0.223727,0.99,envir,0.189932143,1.033702655,0.278442017,0.550884536,0.132086626,0.706314511,7,4,22,0.647348876,0.383946519,0.263402357,0.319020395,0.328328481,-2,16,0.321364048,0.060606061,6.485863605,7.383838384,0.000516727,Fresh water,Fresh Water
226,71.8111,14.4259,0.203248,1.2365,host,0.312640897,1.096467931,0.456596776,1.404434902,0.130473991,0.725756126,3,3,20,0.786858945,0.91998495,-0.133126005,0.36101874,0.425840205,1,18,0.23874942,0.02426203,1.157612193,2.345329559,0.000639963,Clinical,Infection
230,40.5725,19.9464,0.247965,1.54,envir,0.51254195,1.182578781,0.277601703,1.346499797,0.190298222,1.034829788,3,3,20,0.872665479,0.941442858,-0.068777379,0.474743528,0.397921951,1,18,0.177310751,0.058441558,2.386993518,1.175324675,0.000702215,Fresh water,Fresh Water
231,67.0715,17.0731,0.293087,1.1,envir,0.397226584,1.063715625,0.296101528,1.210321864,0.167599586,0.844768709,4,5,23,0.739990532,0.798840301,-0.058849769,0.340965834,0.399024698,2,20,0.219478425,0.027272727,1.901351735,3.745454545,0.000632101,Fresh water,Fresh Water
232,55.8345,14.6061,0.131993,1.0815,envir,0.485019015,1.270654682,0.280093919,1.251969417,0.175107561,1.006727754,3,5,22,0.935544048,0.888665771,0.046878277,0.419603356,0.515940692,3,20,0.208385242,0.027739251,1.20091679,2.061950994,0.000564037,Fresh water,Fresh Water
237,50.4807,14.5195,0.187181,0.8025,envir,0.426851338,1.219767341,0.376073059,0.628951984,0.113054781,1.122286874,3,3,23,0.787987818,0.419404885,0.368582933,0.460827188,0.32716063,1,21,0.224807591,0.087227414,1.746868839,47.76323988,0.000613431,Fresh water,Fresh Water
259,47.8255,39.7957,0.136757,1.61,cf,0.232816585,1.075675115,0.192173112,1.246643876,0.14890892,0.838374868,6,8,10,0.746781106,0.796600425,-0.049819319,0.54383505,0.202946056,3,5,0.200093895,0.124223602,1.225594483,1.925465839,0.00059818,Chronic/CF-patient,Chronic
276,66.272,29.5733,0.22978,1.45,host,0.242175503,1.177323107,0.288182791,1.223268219,0.149892847,0.971449581,6,5,7,0.776868179,0.866118481,-0.089250302,0.663057484,0.113810695,0,2,0.264368003,0.027586207,3.75364744,7.034482759,0.000854081,Clinical,Infection
293,47.0927,26.2451,0.244508,1.2115,host,0.087195857,0.829738789,0.114560438,0.847928862,0.145774564,0.866537673,6,10,20,0.619233567,0.563003344,0.056230223,0.443737278,0.175496289,5,15,0.337227024,0,7.735627327,3.194387123,0.000712935,Clinical,Infection
298,48.9279,22.3893,0.300919,1.69,host,0.394994,1.377602238,0.251557078,1.342755219,0.317435239,1.190315877,3,5,4,0.968251344,0.929164302,0.039087042,0.846254626,0.121996718,3,2,0.275380763,0.112426036,0.286739172,3.550295858,0.001066303,Clinical,Infection
304,39.6563,18.0368,0.241044,2.0785,host,0.368986024,1.4401929,0.498239679,1.279307001,0.162959128,1.182303001,4,3,26,1.041432687,0.897215304,0.144217383,0.392004858,0.649427829,0,23,0.149952153,0.331970171,1.673700236,4.484002887,0.000986731,Clinical,Infection
313,35.6054,30.9688,0.235243,1.995,host,0.433252719,1.583050182,0.354137391,1.620547338,0.072303158,1.139568845,2,2,15,1.158835313,1.157328031,0.001507282,0.777394206,0.381441107,1,14,0.132343015,0.07518797,4.69259446,3.042606516,0.000990817,Clinical,Infection
317,20.2041,19.7529,0.123388,0.869,host,0.133425677,1.031566348,0.109501254,0.997867033,0.157785041,0.951205799,12,13,13,0.626508158,0.615876812,0.010631346,0.555903538,0.07060462,2,2,0.255689006,0,11.17961453,75.22439586,0.00079678,Chronic/CF-patient,Chronic
329,50.1446,14.7951,0.422726,1.31,envir,0.280365683,1.380978199,0.269865802,1.382719648,0.160083295,0.991770706,5,4,20,0.919286394,0.998615479,-0.079329085,0.476046022,0.443240372,0,16,0.214579828,0.106870229,2.87715073,9.908396947,0.000668827,Fresh water,Fresh Water
331,44.3242,14.4015,0.159668,1.93,host,0.345398925,1.575030561,0.514735265,1.869551702,0.144979129,1.055751231,4,3,23,1.125142407,1.232950902,-0.107808495,0.432657173,0.692485234,0,20,0.144489202,0.134715026,0.835475359,4.78238342,0.000692037,Fresh water,Infection
333,104.052,32.1143,0.377538,1.33,host,0.307622028,1.080351323,0.264532459,0.977235937,0.04577198,0.547238966,4,4,23,0.70478751,0.657227409,0.047560101,0.334949339,0.369838171,1,20,0.371141331,0.037593985,4.221123565,5.255639098,0.000628808,Plant/Soil,Infection
334,89.7295,16.3594,0.318124,1.067,envir,0.42964071,1.022005684,0.625594013,1.215917144,0.079546941,0.576165193,2,1,17,0.722863107,0.894819173,-0.171956066,0.351977155,0.370885952,0,16,0.193551483,0.028116214,2.028153362,4.948453608,0.000632037,Clinical,Fresg Water
337,36.4357,20.8066,0.219059,1.96,host,0.457389661,1.432671386,0.663114318,1.414067335,0.113719167,1.026127621,3,2,23,1.03908691,1.035078,0.00400891,0.460010976,0.579075934,0,21,0.141246618,0.096938776,1.094213891,8.423469388,0.000672847,Clinical,Infection
338,80.594,24.1714,0.403538,1.8015,host,0.636771638,1.248977181,0.811633258,1.450844978,0.123615017,0.98762801,2,2,17,0.923790394,0.989037646,-0.065247252,0.545087681,0.378702713,1,16,0.329403969,0.088814876,5.373286119,6.650013877,0.000670011,Fresh water,Chronic
340,66.2495,24.7847,0.224545,1.4665,envir,0.23068314,1.285056114,0.299460452,1.170089966,0.170600038,0.963430073,4,4,23,0.951637676,0.859950867,0.091686809,0.413204595,0.538433081,1,20,0.342954062,0.095465394,8.152262448,12.58097511,0.000665454,Clinical,Surface
342,29.1127,16.3692,0.177187,1.6315,envir,0.500102424,1.434544032,0.324216641,1.740897789,0.139658442,0.999637762,2,4,26,1.059240976,1.197713781,-0.138472805,0.37227765,0.686963326,3,25,0.102196853,0.140974563,4.622452818,19.45448973,0.000697091,Chronic/CF-patient,Surface
344,41.8157,13.9051,0.229684,1.87,envir,0.264408702,1.294215389,0.284121589,1.595172236,0.115472587,0.904691022,4,4,25,0.917722,1.111407602,-0.193685602,0.380591492,0.537130508,1,22,0.139553226,0.112299465,2.642232068,10.05347594,0.000703207,Plant/Soil,Surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
